Target,Accuracy,F1_Macro,F1_Weighted,Precision,Recall,AUC-ROC,Kappa,Avg_Accuracy_Raw,Avg_F1_Raw
DEPRESSION_SEVERITY,0.9985 ± 0.0020,0.9985 ± 0.0020,0.9985 ± 0.0020,0.9985 ± 0.0020,0.9985 ± 0.0020,1.0000 ± 0.0001,0.9980 ± 0.0027,0.9984886649874056,0.9984872325928629
DEPRESSION_BINARY,0.9985 ± 0.0020,0.9980 ± 0.0027,0.9985 ± 0.0020,0.9990 ± 0.0013,0.9970 ± 0.0040,1.0000 ± 0.0001,0.9959 ± 0.0054,0.9984886649874056,0.997970025275397
